tag,dataset,n,selectivity,span,queries,conf_source,root_fanout,target_leaf,target_fanout,leaves,leaves_small,leaves_eligible,ordered,ordered_pct_all,ordered_pct_eligible,mem_ratio,result_avg,ns_min,ns_median,ns_max,ns_per_result,passes,verified_queries,errors
uden.data_n20000000_base_conf256x16_tl1024x16_r1e-06,uden.data,20000000,1e-06,20,1000000,fixed,256,1024,16,65536,0,65536,0,0.000,0.000,1.560007,21.00,2324.672,2389.979,2412.555,110.69867,4,200,0
uden.data_n20000000_w1e+09_conf256x16_tl1024x16_r1e-06,uden.data,20000000,1e-06,20,1000000,fixed,256,1024,16,65536,0,65536,65536,100.000,100.000,1.018516,21.00,1181.265,1268.264,1321.241,56.25072,4,200,0
uden.data_n20000000_base_conf256x16_tl1024x16_r1e-05,uden.data,20000000,1e-05,200,100000,fixed,256,1024,16,65536,0,65536,0,0.000,0.000,1.560007,201.00,4143.906,4168.203,4198.889,20.61645,4,200,0
uden.data_n20000000_w1e+09_conf256x16_tl1024x16_r1e-05,uden.data,20000000,1e-05,200,100000,fixed,256,1024,16,65536,0,65536,65536,100.000,100.000,1.018516,201.00,2131.280,2207.703,3192.747,10.60338,4,200,0
uden.data_n20000000_base_conf256x16_tl1024x16_r0p0001,uden.data,20000000,0.0001,2000,10000,fixed,256,1024,16,65536,0,65536,0,0.000,0.000,1.560007,2001.00,9241.945,10771.829,10794.450,4.61866,4,200,0
uden.data_n20000000_w1e+09_conf256x16_tl1024x16_r0p0001,uden.data,20000000,0.0001,2000,10000,fixed,256,1024,16,65536,0,65536,65536,100.000,100.000,1.018516,2001.00,8683.494,8800.065,9132.294,4.33958,4,200,0
uden.data_n20000000_base_conf256x16_tl1024x16_r0p001,uden.data,20000000,0.001,20000,1000,fixed,256,1024,16,65536,0,65536,0,0.000,0.000,1.560007,20001.00,71213.300,76091.575,90366.552,3.56049,4,200,0
uden.data_n20000000_w1e+09_conf256x16_tl1024x16_r0p001,uden.data,20000000,0.001,20000,1000,fixed,256,1024,16,65536,0,65536,65536,100.000,100.000,1.018516,20001.00,59437.927,62136.708,129677.677,2.97175,4,200,0
uden.data_n20000000_base_conf256x16_tl1024x16_r0p01,uden.data,20000000,0.01,200000,200,fixed,256,1024,16,65536,0,65536,0,0.000,0.000,1.560007,200001.00,680258.390,699356.790,705380.015,3.40127,4,200,0
uden.data_n20000000_w1e+09_conf256x16_tl1024x16_r0p01,uden.data,20000000,0.01,200000,200,fixed,256,1024,16,65536,0,65536,65536,100.000,100.000,1.018516,200001.00,578253.645,598914.675,602343.640,2.89125,4,200,0
uden.data_n20000000_base_conf256x16_tl1024x16_r1e-06,uden.data,20000000,1e-06,20,1000000,fixed,256,1024,16,65536,0,65536,0,0.000,0.000,1.560007,21.00,2176.480,2281.155,2371.400,103.64189,4,200,0
uden.data_n20000000_w1e+09_conf256x16_tl1024x16_r1e-06,uden.data,20000000,1e-06,20,1000000,fixed,256,1024,16,65536,0,65536,65536,100.000,100.000,1.018516,21.00,1010.725,1080.707,1084.632,48.12977,4,200,0
uden.data_n20000000_base_conf256x16_tl1024x16_r1e-05,uden.data,20000000,1e-05,200,100000,fixed,256,1024,16,65536,0,65536,0,0.000,0.000,1.560007,201.00,3005.048,3338.597,3543.074,14.95049,4,200,0
uden.data_n20000000_w1e+09_conf256x16_tl1024x16_r1e-05,uden.data,20000000,1e-05,200,100000,fixed,256,1024,16,65536,0,65536,65536,100.000,100.000,1.018516,201.00,1782.917,2474.767,3922.002,8.87023,4,200,0
uden.data_n20000000_base_conf256x16_tl1024x16_r0p0001,uden.data,20000000,0.0001,2000,10000,fixed,256,1024,16,65536,0,65536,0,0.000,0.000,1.560007,2001.00,11213.991,11324.019,16166.128,5.60419,4,200,0
uden.data_n20000000_w1e+09_conf256x16_tl1024x16_r0p0001,uden.data,20000000,0.0001,2000,10000,fixed,256,1024,16,65536,0,65536,65536,100.000,100.000,1.018516,2001.00,6915.501,7278.860,7334.558,3.45602,4,200,0
uden.data_n20000000_base_conf256x16_tl1024x16_r0p001,uden.data,20000000,0.001,20000,1000,fixed,256,1024,16,65536,0,65536,0,0.000,0.000,1.560007,20001.00,71915.778,74237.368,74470.735,3.59561,4,200,0
uden.data_n20000000_w1e+09_conf256x16_tl1024x16_r0p001,uden.data,20000000,0.001,20000,1000,fixed,256,1024,16,65536,0,65536,65536,100.000,100.000,1.018516,20001.00,58366.809,88348.026,94116.518,2.91819,4,200,0
uden.data_n20000000_base_conf256x16_tl1024x16_r0p01,uden.data,20000000,0.01,200000,200,fixed,256,1024,16,65536,0,65536,0,0.000,0.000,1.560007,200001.00,694956.815,764170.505,1452683.905,3.47477,4,200,0
uden.data_n20000000_w1e+09_conf256x16_tl1024x16_r0p01,uden.data,20000000,0.01,200000,200,fixed,256,1024,16,65536,0,65536,65536,100.000,100.000,1.018516,200001.00,579327.485,851481.750,1052262.090,2.89662,4,200,0
face.data_n20000000_base_conf256x16_tl1024x16_r1e-06,face.data,20000000,1e-06,20,1000000,fixed,256,1024,16,99931,6079,93852,0,0.000,0.000,1.565212,21.00,5600.348,5683.272,5812.697,266.68325,4,200,0
face.data_n20000000_w1e+09_conf256x16_tl1024x16_r1e-06,face.data,20000000,1e-06,20,1000000,fixed,256,1024,16,99931,6079,93852,93852,93.917,100.000,1.025145,21.00,1244.436,1355.830,1771.074,59.25886,4,200,0
face.data_n20000000_base_conf256x16_tl1024x16_r1e-05,face.data,20000000,1e-05,200,100000,fixed,256,1024,16,99931,6079,93852,0,0.000,0.000,1.565212,201.00,8525.954,8804.938,8861.121,42.41768,4,200,0
face.data_n20000000_w1e+09_conf256x16_tl1024x16_r1e-05,face.data,20000000,1e-05,200,100000,fixed,256,1024,16,99931,6079,93852,93852,93.917,100.000,1.025145,201.00,1863.717,2251.945,2349.950,9.27222,4,200,0
face.data_n20000000_base_conf256x16_tl1024x16_r0p0001,face.data,20000000,0.0001,2000,10000,fixed,256,1024,16,99931,6079,93852,0,0.000,0.000,1.565212,2001.00,21577.544,21838.690,21845.107,10.78338,4,200,0
face.data_n20000000_w1e+09_conf256x16_tl1024x16_r0p0001,face.data,20000000,0.0001,2000,10000,fixed,256,1024,16,99931,6079,93852,93852,93.917,100.000,1.025145,2001.00,7800.209,8618.830,8710.338,3.89816,4,200,0
face.data_n20000000_base_conf256x16_tl1024x16_r0p001,face.data,20000000,0.001,20000,1000,fixed,256,1024,16,99931,6079,93852,0,0.000,0.000,1.565212,20001.00,155037.268,193915.461,278892.243,7.75148,4,200,0
face.data_n20000000_w1e+09_conf256x16_tl1024x16_r0p001,face.data,20000000,0.001,20000,1000,fixed,256,1024,16,99931,6079,93852,93852,93.917,100.000,1.025145,20001.00,48630.270,49759.183,65777.938,2.43139,4,200,0
face.data_n20000000_base_conf256x16_tl1024x16_r0p01,face.data,20000000,0.01,200000,200,fixed,256,1024,16,99931,6079,93852,0,0.000,0.000,1.565212,200001.00,1514019.850,1565909.775,1727779.320,7.57006,4,200,0
face.data_n20000000_w1e+09_conf256x16_tl1024x16_r0p01,face.data,20000000,0.01,200000,200,fixed,256,1024,16,99931,6079,93852,93852,93.917,100.000,1.025145,200001.00,626981.540,683878.845,737468.650,3.13489,4,200,0
face.data_n20000000_base_conf256x16_tl1024x16_r1e-06,face.data,20000000,1e-06,20,1000000,fixed,256,1024,16,99931,6079,93852,0,0.000,0.000,1.565212,21.00,5656.469,5801.783,5854.070,269.35565,4,200,0
face.data_n20000000_w1e+09_conf256x16_tl1024x16_r1e-06,face.data,20000000,1e-06,20,1000000,fixed,256,1024,16,99931,6079,93852,93852,93.917,100.000,1.025145,21.00,1228.067,1259.986,1319.184,58.47937,4,200,0
face.data_n20000000_base_conf256x16_tl1024x16_r1e-05,face.data,20000000,1e-05,200,100000,fixed,256,1024,16,99931,6079,93852,0,0.000,0.000,1.565212,201.00,7851.253,8779.017,8870.504,39.06096,4,200,0
