tag,dataset,n,selectivity,span,queries,conf_source,root_fanout,target_leaf,target_fanout,leaves,leaves_small,leaves_eligible,ordered,ordered_pct_all,ordered_pct_eligible,mem_ratio,result_avg,ns_min,ns_median,ns_max,ns_per_result,passes,verified_queries,errors
uden.data_n20000000_base_conf256x16_tl1024x16_r1e-06,uden.data,20000000,1e-06,20,1000000,fixed,256,1024,16,65536,0,65536,0,0.000,0.000,1.560007,21.00,2185.031,2331.625,2380.580,104.04911,4,200,0
uden.data_n20000000_w16_conf256x16_tl1024x16_r1e-06,uden.data,20000000,1e-06,20,1000000,fixed,256,1024,16,65536,0,65536,65536,100.000,100.000,1.018516,21.00,1030.504,1096.943,1097.637,49.07160,4,200,0
uden.data_n20000000_base_conf256x16_tl1024x16_r1e-05,uden.data,20000000,1e-05,200,100000,fixed,256,1024,16,65536,0,65536,0,0.000,0.000,1.560007,201.00,2904.496,3419.913,5908.004,14.45023,4,200,0
uden.data_n20000000_w16_conf256x16_tl1024x16_r1e-05,uden.data,20000000,1e-05,200,100000,fixed,256,1024,16,65536,0,65536,65536,100.000,100.000,1.018516,201.00,1630.127,1644.793,1969.022,8.11008,4,200,0
uden.data_n20000000_base_conf256x16_tl1024x16_r0p0001,uden.data,20000000,0.0001,2000,10000,fixed,256,1024,16,65536,0,65536,0,0.000,0.000,1.560007,2001.00,8859.395,9163.555,9199.488,4.42748,4,200,0
uden.data_n20000000_w16_conf256x16_tl1024x16_r0p0001,uden.data,20000000,0.0001,2000,10000,fixed,256,1024,16,65536,0,65536,65536,100.000,100.000,1.018516,2001.00,5881.343,7031.764,7109.135,2.93920,4,200,0
uden.data_n20000000_base_conf256x16_tl1024x16_r0p001,uden.data,20000000,0.001,20000,1000,fixed,256,1024,16,65536,0,65536,0,0.000,0.000,1.560007,20001.00,70065.619,70633.696,74254.845,3.50311,4,200,0
uden.data_n20000000_w16_conf256x16_tl1024x16_r0p001,uden.data,20000000,0.001,20000,1000,fixed,256,1024,16,65536,0,65536,65536,100.000,100.000,1.018516,20001.00,47337.176,58633.353,59825.965,2.36674,4,200,0
uden.data_n20000000_base_conf256x16_tl1024x16_r0p01,uden.data,20000000,0.01,200000,200,fixed,256,1024,16,65536,0,65536,0,0.000,0.000,1.560007,200001.00,711953.265,816922.480,817313.525,3.55975,4,200,0
uden.data_n20000000_w16_conf256x16_tl1024x16_r0p01,uden.data,20000000,0.01,200000,200,fixed,256,1024,16,65536,0,65536,65536,100.000,100.000,1.018516,200001.00,557963.520,573340.230,577845.165,2.78980,4,200,0
uden.data_n20000000_base_conf256x16_tl1024x16_r1e-06,uden.data,20000000,1e-06,20,1000000,fixed,256,1024,16,65536,0,65536,0,0.000,0.000,1.560007,21.00,2252.023,2295.823,2303.265,107.23920,4,200,0
uden.data_n20000000_w16_conf256x16_tl1024x16_r1e-06,uden.data,20000000,1e-06,20,1000000,fixed,256,1024,16,65536,0,65536,65536,100.000,100.000,1.018516,21.00,1025.968,1090.252,1100.525,48.85562,4,200,0
uden.data_n20000000_base_conf256x16_tl1024x16_r1e-05,uden.data,20000000,1e-05,200,100000,fixed,256,1024,16,65536,0,65536,0,0.000,0.000,1.560007,201.00,2835.935,2868.016,3091.580,14.10913,4,200,0
uden.data_n20000000_w16_conf256x16_tl1024x16_r1e-05,uden.data,20000000,1e-05,200,100000,fixed,256,1024,16,65536,0,65536,65536,100.000,100.000,1.018516,201.00,1624.049,2032.002,2061.242,8.07984,4,200,0
uden.data_n20000000_base_conf256x16_tl1024x16_r0p0001,uden.data,20000000,0.0001,2000,10000,fixed,256,1024,16,65536,0,65536,0,0.000,0.000,1.560007,2001.00,8635.203,8987.843,9210.336,4.31544,4,200,0
uden.data_n20000000_w16_conf256x16_tl1024x16_r0p0001,uden.data,20000000,0.0001,2000,10000,fixed,256,1024,16,65536,0,65536,65536,100.000,100.000,1.018516,2001.00,6922.463,7004.599,7195.221,3.45950,4,200,0
uden.data_n20000000_base_conf256x16_tl1024x16_r0p001,uden.data,20000000,0.001,20000,1000,fixed,256,1024,16,65536,0,65536,0,0.000,0.000,1.560007,20001.00,69662.764,71694.103,72723.607,3.48296,4,200,0
uden.data_n20000000_w16_conf256x16_tl1024x16_r0p001,uden.data,20000000,0.001,20000,1000,fixed,256,1024,16,65536,0,65536,65536,100.000,100.000,1.018516,20001.00,41276.735,49322.150,56074.841,2.06373,4,200,0
uden.data_n20000000_base_conf256x16_tl1024x16_r0p01,uden.data,20000000,0.01,200000,200,fixed,256,1024,16,65536,0,65536,0,0.000,0.000,1.560007,200001.00,668519.845,698883.420,779512.960,3.34258,4,200,0
uden.data_n20000000_w16_conf256x16_tl1024x16_r0p01,uden.data,20000000,0.01,200000,200,fixed,256,1024,16,65536,0,65536,65536,100.000,100.000,1.018516,200001.00,516464.610,679184.030,774175.085,2.58231,4,200,0
face.data_n20000000_base_conf256x16_tl1024x16_r1e-06,face.data,20000000,1e-06,20,1000000,fixed,256,1024,16,99931,6079,93852,0,0.000,0.000,1.565212,21.00,5574.929,5709.429,5769.152,265.47281,4,200,0
face.data_n20000000_w16_conf256x16_tl1024x16_r1e-06,face.data,20000000,1e-06,20,1000000,fixed,256,1024,16,99931,6079,93852,26218,26.236,27.935,1.543644,21.00,5570.644,5622.920,5687.762,265.26878,4,200,0
face.data_n20000000_base_conf256x16_tl1024x16_r1e-05,face.data,20000000,1e-05,200,100000,fixed,256,1024,16,99931,6079,93852,0,0.000,0.000,1.565212,201.00,8134.993,8549.409,8604.716,40.47260,4,200,0
face.data_n20000000_w16_conf256x16_tl1024x16_r1e-05,face.data,20000000,1e-05,200,100000,fixed,256,1024,16,99931,6079,93852,26218,26.236,27.935,1.543644,201.00,8321.156,8643.729,8699.781,41.39879,4,200,0
face.data_n20000000_base_conf256x16_tl1024x16_r0p0001,face.data,20000000,0.0001,2000,10000,fixed,256,1024,16,99931,6079,93852,0,0.000,0.000,1.565212,2001.00,23368.307,23656.394,23690.827,11.67831,4,200,0
face.data_n20000000_w16_conf256x16_tl1024x16_r0p0001,face.data,20000000,0.0001,2000,10000,fixed,256,1024,16,99931,6079,93852,26218,26.236,27.935,1.543644,2001.00,22268.106,22282.958,22460.888,11.12849,4,200,0
face.data_n20000000_base_conf256x16_tl1024x16_r0p001,face.data,20000000,0.001,20000,1000,fixed,256,1024,16,99931,6079,93852,0,0.000,0.000,1.565212,20001.00,155145.988,168638.344,178782.052,7.75691,4,200,0
face.data_n20000000_w16_conf256x16_tl1024x16_r0p001,face.data,20000000,0.001,20000,1000,fixed,256,1024,16,99931,6079,93852,26218,26.236,27.935,1.543644,20001.00,159297.730,184690.715,185417.926,7.96449,4,200,0
face.data_n20000000_base_conf256x16_tl1024x16_r0p01,face.data,20000000,0.01,200000,200,fixed,256,1024,16,99931,6079,93852,0,0.000,0.000,1.565212,200001.00,1516227.505,1659989.880,1687110.105,7.58110,4,200,0
face.data_n20000000_w16_conf256x16_tl1024x16_r0p01,face.data,20000000,0.01,200000,200,fixed,256,1024,16,99931,6079,93852,26218,26.236,27.935,1.543644,200001.00,1509877.420,1526876.070,1576477.725,7.54935,4,200,0
face.data_n20000000_base_conf256x16_tl1024x16_r1e-06,face.data,20000000,1e-06,20,1000000,fixed,256,1024,16,99931,6079,93852,0,0.000,0.000,1.565212,21.00,5832.252,5907.332,6121.439,277.72630,4,200,0
face.data_n20000000_w16_conf256x16_tl1024x16_r1e-06,face.data,20000000,1e-06,20,1000000,fixed,256,1024,16,99931,6079,93852,26218,26.236,27.935,1.543644,21.00,5601.031,5655.679,5730.706,266.71576,4,200,0
face.data_n20000000_base_conf256x16_tl1024x16_r1e-05,face.data,20000000,1e-05,200,100000,fixed,256,1024,16,99931,6079,93852,0,0.000,0.000,1.565212,201.00,7742.644,8704.488,8772.722,38.52062,4,200,0
face.data_n20000000_w16_conf256x16_tl1024x16_r1e-05,face.data,20000000,1e-05,200,100000,fixed,256,1024,16,99931,6079,93852,26218,26.236,27.935,1.543644,201.00,7894.431,8702.182,8773.579,39.27578,4,200,0
face.data_n20000000_base_conf256x16_tl1024x16_r0p0001,face.data,20000000,0.0001,2000,10000,fixed,256,1024,16,99931,6079,93852,0,0.000,0.000,1.565212,2001.00,21680.583,23321.956,23700.523,10.83487,4,200,0
face.data_n20000000_w16_conf256x16_tl1024x16_r0p0001,face.data,20000000,0.0001,2000,10000,fixed,256,1024,16,99931,6079,93852,26218,26.236,27.935,1.543644,2001.00,22880.474,24655.878,25561.983,11.43452,4,200,0
