tag,dataset,n,window_threshold,theta,conf_source,root_fanout,fixed_inner,target_leaf,target_fanout,leaves,leaves_small,leaves_eligible,ordered,ordered_pct_all,ordered_pct_eligible,mem_ratio,get_ns_min,get_ns_median,get_ns_max,passes,queries_per_pass,errors
uden.data_n20000000_base_conf256x16_tl1024x16,uden.data,20000000,-1,-1,fixed,256,16,1024,16,65536,0,65536,0,0.000,0.000,1.560007,270.973,278.320,281.641,4,8000000,0
uden.data_n20000000_w4_conf256x16_tl1024x16,uden.data,20000000,4,-1,fixed,256,16,1024,16,65536,0,65536,65536,100.000,100.000,1.018516,320.047,341.875,350.065,4,8000000,0
uden.data_n20000000_w16_conf256x16_tl1024x16,uden.data,20000000,16,-1,fixed,256,16,1024,16,65536,0,65536,65536,100.000,100.000,1.018516,328.061,347.298,357.139,4,8000000,0
uden.data_n20000000_w64_conf256x16_tl1024x16,uden.data,20000000,64,-1,fixed,256,16,1024,16,65536,0,65536,65536,100.000,100.000,1.018516,325.999,340.938,344.002,4,8000000,0
uden.data_n20000000_w256_conf256x16_tl1024x16,uden.data,20000000,256,-1,fixed,256,16,1024,16,65536,0,65536,65536,100.000,100.000,1.018516,324.007,340.981,344.577,4,8000000,0
face.data_n20000000_base_conf256x16_tl1024x16,face.data,20000000,-1,-1,fixed,256,16,1024,16,99931,6079,93852,0,0.000,0.000,1.565212,303.139,309.324,319.630,4,8000000,0
face.data_n20000000_w4_conf256x16_tl1024x16,face.data,20000000,4,-1,fixed,256,16,1024,16,99931,6079,93852,8201,8.207,8.738,1.562572,301.919,310.875,324.296,4,8000000,0
face.data_n20000000_w16_conf256x16_tl1024x16,face.data,20000000,16,-1,fixed,256,16,1024,16,99931,6079,93852,26218,26.236,27.935,1.543644,310.562,319.050,329.569,4,8000000,0
face.data_n20000000_w64_conf256x16_tl1024x16,face.data,20000000,64,-1,fixed,256,16,1024,16,99931,6079,93852,60294,60.336,64.244,1.423772,385.588,390.307,396.202,4,8000000,0
face.data_n20000000_w256_conf256x16_tl1024x16,face.data,20000000,256,-1,fixed,256,16,1024,16,99931,6079,93852,89523,89.585,95.387,1.110826,693.286,708.059,717.141,4,8000000,0
local_skew.data_n19999999_base_conf256x16_tl1024x16,local_skew.data,19999999,-1,-1,fixed,256,16,1024,16,212011,41169,170842,0,0.000,0.000,1.590260,357.067,364.148,368.496,4,8000000,0
local_skew.data_n19999999_w4_conf256x16_tl1024x16,local_skew.data,19999999,4,-1,fixed,256,16,1024,16,212011,41169,170842,39701,18.726,23.238,1.551422,364.186,367.331,377.517,4,8000000,0
local_skew.data_n19999999_w16_conf256x16_tl1024x16,local_skew.data,19999999,16,-1,fixed,256,16,1024,16,212011,41169,170842,155489,73.340,91.013,1.204214,528.659,539.232,541.617,4,8000000,0
local_skew.data_n19999999_w64_conf256x16_tl1024x16,local_skew.data,19999999,64,-1,fixed,256,16,1024,16,212011,41169,170842,161151,76.011,94.328,1.188193,560.888,576.562,586.315,4,8000000,0
local_skew.data_n19999999_w256_conf256x16_tl1024x16,local_skew.data,19999999,256,-1,fixed,256,16,1024,16,212011,41169,170842,167147,78.839,97.837,1.132677,608.653,614.543,616.992,4,8000000,0
